    DATA;  ORA;DIR; VEL
20110101;00:00; 37; 2,1
20110101;01:00; 63; 1,9
20110101;02:00; 51; 1,4
20110101;03:00; 42; 1,7
20110101;04:00; 66; 1,2
20110101;05:00; 53; 0,9
20110101;06:00; 51; 1,2
20110101;07:00; 46; 1,8
20110101;08:00; 57; 1,0
20110101;09:00; 50; 0,9
20110101;10:00; 63; 0,9
20110101;11:00; 95; 1,8
20110101;12:00; 92; 1,6
20110101;13:00; 97; 1,6
20110101;14:00;110; 2,5
20110101;15:00;107; 1,9
20110101;16:00;102; 1,3
20110101;17:00; 88; 1,9
20110101;18:00; 57; 1,7
20110101;19:00; 62; 1,8
20110101;20:00; 65; 1,1
20110101;21:00; 46; 1,8
20110101;22:00; 44; 1,9
20110101;23:00;  9; 1,6
20110102;00:00; 68; 0,6
20110102;01:00;338; 0,2
20110102;02:00; 31; 0,3
20110102;03:00;286; 1,0
20110102;04:00;290; 0,6
20110102;05:00;  -; 0,1
20110102;06:00;  8; 1,2
20110102;07:00; 45; 0,7
20110102;08:00;139; 0,3
20110102;09:00; 21; 2,6
20110102;10:00; 10; 1,1
20110102;11:00; 19; 1,9
20110102;12:00; 18; 2,2
20110102;13:00; 20; 2,9
20110102;14:00; 16; 4,0
20110102;15:00;  8; 2,7
20110102;16:00; 25; 4,1
20110102;17:00;  5; 3,9
20110102;18:00;333; 1,4
20110102;19:00;357; 1,8
20110102;20:00;338; 1,7
20110102;21:00;312; 2,5
20110102;22:00;297; 2,9
20110102;23:00;309; 2,4
20110103;00:00;307; 3,6
20110103;01:00;312; 2,7
20110103;02:00;321; 4,6
20110103;03:00;326; 4,4
20110103;04:00;305; 4,3
20110103;05:00;302; 4,2
20110103;06:00;315; 3,9
20110103;07:00;317; 3,7
20110103;08:00;325; 4,0
20110103;09:00;339; 5,6
20110103;10:00;330; 6,0
20110103;11:00;332; 6,1
20110103;12:00;340; 4,5
20110103;13:00;354; 7,8
20110103;14:00;344; 4,5
20110103;15:00; 17; 5,8
20110103;16:00;332; 5,3
20110103;17:00;339; 8,6
20110103;18:00;339; 6,1
20110103;19:00;322; 4,7
20110103;20:00;320; 5,3
20110103;21:00;318; 4,2
20110103;22:00;316; 5,2
20110103;23:00;323; 2,7
20110104;00:00;335; 4,9
20110104;01:00;335; 4,3
20110104;02:00;337; 5,2
20110104;03:00;330; 4,5
20110104;04:00;320; 4,8
20110104;05:00;335; 5,7
20110104;06:00;337; 4,5
20110104;07:00;337; 5,5
20110104;08:00;335; 5,6
20110104;09:00;335; 5,2
20110104;10:00;325; 5,0
20110104;11:00;318; 4,2
