    DATA;  ORA;DIR; VEL
20160101;00:00; 51; 1,8
20160101;00:10; 25; 1,2
20160101;00:20; 11; 0,8
20160101;00:30; 34; 1,1
20160101;00:40; 30; 1,0
20160101;00:50; 45; 1,5
20160101;01:00; 38; 1,2
20160101;01:10; 44; 1,9
20160101;01:20; 31; 1,7
20160101;01:30; 47; 2,0
20160101;01:40; 36; 1,6
20160101;01:50; 33; 1,2
20160101;02:00; 12; 1,2
20160101;02:10; 17; 1,1
20160101;02:20; 25; 1,2
20160101;02:30; 29; 1,6
20160101;02:40; 33; 1,6
20160101;02:50; 39; 1,6
20160101;03:00; 18; 1,3
20160101;03:10; 15; 1,3
20160101;03:20; 30; 1,8
20160101;03:30; 50; 3,1
20160101;03:40; 50; 3,0
20160101;03:50; 45; 2,8
20160101;04:00; 52; 3,1
20160101;04:10; 54; 3,0
20160101;04:20; 48; 3,1
20160101;04:30; 47; 3,1
20160101;04:40; 41; 3,2
20160101;04:50; 41; 2,7
20160101;05:00; 39; 2,4
20160101;05:10; 39; 2,5
20160101;05:20; 37; 2,8
20160101;05:30; 42; 2,7
20160101;05:40; 36; 2,6
20160101;05:50; 34; 2,5
20160101;06:00; 39; 2,5
20160101;06:10; 42; 2,4
20160101;06:20; 17; 1,5
20160101;06:30; 25; 1,5
20160101;06:40; 26; 1,1
20160101;06:50; 29; 1,3
20160101;07:00; 38; 1,6
20160101;07:10; 34; 2,3
20160101;07:20; 42; 2,4
20160101;07:30; 49; 2,8
20160101;07:40; 41; 2,1
20160101;07:50; 41; 1,4
20160101;08:00; 46; 1,6
20160101;08:10; 59; 1,5
20160101;08:20; 54; 1,5
20160101;08:30; 50; 1,4
20160101;08:40; 39; 0,8
20160101;08:50; 50; 0,7
20160101;09:00; 42; 0,9
20160101;09:10; 47; 0,6
20160101;09:20;359; 0,6
20160101;09:30;172; 0,2
20160101;09:40;179; 0,3
20160101;09:50;216; 0,9
20160101;10:00;242; 1,5
20160101;10:10;256; 2,2
20160101;10:20;247; 2,3
20160101;10:30;248; 2,6
20160101;10:40;259; 2,6
20160101;10:50;256; 2,8
20160101;11:00;246; 3,2
20160101;11:10;245; 3,6
20160101;11:20;258; 2,8
20160101;11:30;239; 3,1
20160101;11:40;247; 2,5
20160101;11:50;268; 2,9
20160101;12:00;247; 3,0
20160101;12:10;237; 3,2
20160101;12:20;254; 2,5
20160101;12:30;245; 2,9
20160101;12:40;246; 2,7
