    DATA;  ORA;DIR; VEL
20150101;00:00; 11; 6,7
20150101;00:10; 18; 5,9
20150101;00:20; 11; 5,6
20150101;00:30;  1; 5,7
20150101;00:40;360; 6,5
20150101;00:50;359; 6,7
20150101;01:00;  3; 6,4
20150101;01:10;  1; 5,6
20150101;01:20;  1; 5,8
20150101;01:30;  4; 6,6
20150101;01:40;  4; 6,0
20150101;01:50;  2; 5,8
20150101;02:00;  4; 5,4
20150101;02:10; 10; 5,0
20150101;02:20;354; 5,0
20150101;02:30;351; 5,5
20150101;02:40;338; 4,8
20150101;02:50;340; 4,2
20150101;03:00;353; 6,3
20150101;03:10;355; 5,3
20150101;03:20;355; 5,3
20150101;03:30;351; 5,6
20150101;03:40;352; 5,4
20150101;03:50;354; 5,3
20150101;04:00;355; 4,6
20150101;04:10;358; 3,8
20150101;04:20;355; 4,1
20150101;04:30;355; 5,4
20150101;04:40;358; 5,3
20150101;04:50; 12; 5,8
20150101;05:00;  7; 5,9
20150101;05:10; 14; 6,4
20150101;05:20;  5; 7,2
20150101;05:30;359; 6,7
20150101;05:40;359; 5,5
20150101;05:50;  1; 4,5
20150101;06:00;359; 4,6
20150101;06:10;  9; 4,0
20150101;06:20;  8; 4,6
20150101;06:30; 11; 4,4
20150101;06:40; 15; 4,8
20150101;06:50; 28; 4,9
20150101;07:00; 20; 5,5
20150101;07:10; 17; 5,5
20150101;07:20; 22; 6,6
20150101;07:30; 22; 6,6
20150101;07:40; 23; 6,6
20150101;07:50; 18; 5,1
20150101;08:00; 18; 5,3
20150101;08:10; 11; 5,5
20150101;08:20;  3; 4,2
20150101;08:30;357; 4,4
20150101;08:40;  8; 4,9
20150101;08:50; 11; 4,5
20150101;09:00; 22; 5,3
20150101;09:10; 21; 6,2
20150101;09:20; 18; 5,9
20150101;09:30; 18; 6,0
20150101;09:40; 21; 6,7
20150101;09:50; 19; 6,1
20150101;10:00; 23; 6,5
20150101;10:10; 20; 6,5
20150101;10:20; 23; 6,6
20150101;10:30; 24; 6,5
20150101;10:40; 20; 6,4
20150101;10:50; 15; 5,1
