    DATA;  ORA;DIR; VEL
20210101;00:00; 16; 1,9
20210101;00:10; 53; 2,7
20210101;00:20; 51; 1,9
20210101;00:30; 60; 1,4
20210101;00:40; 65; 1,8
20210101;00:50; 55; 1,9
20210101;01:00; 49; 2,4
20210101;01:10; 52; 2,2
20210101;01:20; 50; 1,8
20210101;01:30; 48; 1,5
20210101;01:40; 18; 1,6
20210101;01:50; 37; 1,3
20210101;02:00; 54; 2,2
20210101;02:10; 52; 2,5
20210101;02:20; 50; 2,8
20210101;02:30; 56; 3,2
20210101;02:40; 59; 3,6
20210101;02:50; 56; 3,8
20210101;03:00; 59; 4,1
20210101;03:10; 63; 3,4
20210101;03:20; 60; 3,8
20210101;03:30; 56; 3,7
20210101;03:40; 54; 3,3
20210101;03:50; 59; 3,2
20210101;04:00; 55; 3,1
20210101;04:10; 53; 3,1
20210101;04:20; 55; 3,5
20210101;04:30; 61; 3,3
20210101;04:40; 63; 3,6
20210101;04:50; 58; 3,6
20210101;05:00; 58; 3,6
20210101;05:10; 55; 4,2
20210101;05:20; 57; 3,9
20210101;05:30; 61; 4,4
20210101;05:40; 54; 4,3
20210101;05:50; 53; 3,9
20210101;06:00; 54; 4,1
20210101;06:10; 57; 3,7
20210101;06:20; 60; 3,6
20210101;06:30; 58; 3,3
20210101;06:40; 56; 3,8
20210101;06:50; 54; 3,6
20210101;07:00; 60; 3,6
20210101;07:10; 57; 3,3
20210101;07:20; 64; 3,2
20210101;07:30; 58; 3,5
20210101;07:40; 55; 3,6
20210101;07:50; 50; 3,6
20210101;08:00; 46; 3,9
20210101;08:10; 48; 4,2
20210101;08:20; 52; 4,2
20210101;08:30; 55; 3,8
20210101;08:40; 57; 3,2
20210101;08:50; 64; 3,3
20210101;09:00; 66; 3,2
20210101;09:10; 63; 2,9
20210101;09:20; 64; 2,3
20210101;09:30; 77; 1,4
20210101;09:40;138; 2,3
20210101;09:50;190; 6,7
20210101;10:00;208; 7,7
20210101;10:10;209; 8,0
20210101;10:20;211; 7,4
20210101;10:30;215; 7,2
20210101;10:40;216; 6,4
20210101;10:50;215; 5,9
20210101;11:00;217; 5,4
20210101;11:10;208; 5,4
20210101;11:20;205; 5,0
20210101;11:30;210; 4,7
20210101;11:40;207; 4,7
20210101;11:50;213; 4,4
20210101;12:00;211; 4,2
20210101;12:10;207; 4,4
20210101;12:20;197; 4,1
20210101;12:30;179; 7,7
20210101;12:40;169; 9,0
20210101;12:50;163; 8,2
20210101;13:00;156; 8,3
20210101;13:10;157; 8,7
20210101;13:20;162; 8,9
20210101;13:30;155; 8,8
20210101;13:40;154; 8,6
20210101;13:50;145; 8,7
20210101;14:00;149; 8,3
20210101;14:10;155; 7,7
20210101;14:20;155; 7,9
20210101;14:30;150; 8,2
20210101;14:40;153; 7,8
20210101;14:50;142; 7,3
20210101;15:00;137; 7,6
20210101;15:10;136; 8,4
20210101;15:20;137; 7,9
20210101;15:30;130; 7,8
20210101;15:40;128; 7,1
20210101;15:50;126; 6,0
20210101;16:00;126; 5,0
20210101;16:10;132; 4,7
20210101;16:20;132; 5,0
20210101;16:30;135; 5,1
20210101;16:40;138; 5,7
20210101;16:50;141; 5,6
20210101;17:00;149; 6,0
20210101;17:10;152; 6,0
20210101;17:20;160; 7,1
20210101;17:30;162; 7,6
20210101;17:40;167; 7,6
20210101;17:50;163; 8,2
20210101;18:00;160; 8,1
20210101;18:10;164; 8,4
20210101;18:20;167; 7,8
20210101;18:30;166; 7,8
20210101;18:40;167; 8,9
20210101;18:50;165; 8,2
20210101;19:00;163; 8,2
20210101;19:10;165; 8,2
20210101;19:20;171; 9,0
20210101;19:30;165; 7,4
20210101;19:40;166; 7,8
20210101;19:50;168; 8,1
20210101;20:00;174; 9,1
20210101;20:10;168; 8,8
20210101;20:20;174; 8,9
20210101;20:30;176; 9,1
20210101;20:40;175; 9,0
20210101;20:50;174; 9,2
20210101;21:00;176; 8,4
20210101;21:10;177; 8,8
20210101;21:20;176; 9,2
20210101;21:30;177; 9,8
20210101;21:40;174; 9,7
20210101;21:50;174; 9,7
20210101;22:00;173; 8,4
20210101;22:10;173; 8,6
20210101;22:20;171; 9,4
20210101;22:30;173; 9,6
20210101;22:40;172; 9,9
20210101;22:50;168;10,3
20210101;23:00;167;10,5
20210101;23:10;172;10,7
20210101;23:20;165;10,4
20210101;23:30;165; 9,1
20210101;23:40;173; 9,9
20210101;23:50;160; 9,6
20210102;00:00;145; 7,9
20210102;00:10;157; 7,3
20210102;00:20;173; 9,4
20210102;00:30;177;11,2
20210102;00:40;171;10,5
20210102;00:50;176;10,7
20210102;01:00;172;11,5
20210102;01:10;172;10,9
20210102;01:20;173; 9,2
20210102;01:30;176; 9,3
20210102;01:40;173; 9,2
20210102;01:50;166; 9,1
20210102;02:00;163; 8,6
20210102;02:10;165; 8,8
